"filename", "language", "TXT", "XSL", "C++", "CSV", "Shell Script", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\listCase.cpp", "C++", 0, 0, 0, 0, 0, -56, 0, -56
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\listLearning.cpp", "C++", 0, 0, 0, 0, 0, -110, -1, -111
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\map_multimap.cpp", "C++", 0, 0, 0, 0, 0, -163, -2, -165
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\predicate.cpp", "C++", 0, 0, 0, 0, 0, -86, -1, -87
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\set_multiset.cpp", "C++", 0, 0, 0, 0, 0, -195, 0, -195
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\stackLearning.cpp", "C++", 0, 0, 0, 0, 0, -53, -1, -54
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\vectorTest.cpp", "C++", 0, 0, 0, 0, 0, -242, -2, -244
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STL_Algorithm\ArithGen.cpp", "C++", 0, 0, -122, 0, 0, -12, 0, -134
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STL_Algorithm\ErgodicALG.cpp", "C++", 0, 0, 0, 0, 0, -68, 0, -68
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STL_Algorithm\FindALG.cpp", "C++", 0, 0, 0, 0, 0, -185, -2, -187
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STL_Algorithm\commen.hpp", "C++", 0, 0, -69, 0, 0, 0, -1, -70
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STL_Algorithm\random_shuffe.cpp", "C++", 0, 0, 0, 0, 0, -146, 0, -146
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\SpeechContestSystem\Speaker.hpp", "C++", 0, 0, -41, 0, 0, 0, 0, -41
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\SpeechContestSystem\SpeechContestManSys.cpp", "C++", 0, 0, -34, 0, 0, -1, -2, -37
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\SpeechContestSystem\SpeechManager.cpp", "C++", 0, 0, -310, 0, 0, -29, -4, -343
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\SpeechContestSystem\SpeechManager.h", "C++", 0, 0, -46, 0, 0, 0, 0, -46
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\StudentFile.txt", "TXT", -7, 0, 0, 0, 0, 0, -1, -8
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\TeacherFile.txt", "TXT", -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\TemplateLearning\ClassTemplate.cpp", "C++", 0, 0, -85, 0, 0, -14, -1, -100
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\TemplateLearning\ClasstempInherit.cpp", "C++", 0, 0, 0, 0, 0, -104, -3, -107
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\TemplateLearning\Common_Template.cpp", "C++", 0, 0, 0, 0, 0, -155, -2, -157
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\TemplateLearning\FunctionTemplate.cpp", "C++", 0, 0, 0, 0, 0, -56, -1, -57
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\TemplateLearning\Sort_Template.cpp", "C++", 0, 0, 0, 0, 0, -156, -3, -159
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\TemplateLearning\example.cpp", "C++", 0, 0, 0, 0, 0, -100, -1, -101
